subj,prop,bucket,subject_num_chunks,step,exposures,gold_logprob,max_decoy_logprob,correct
Chrome,producer,low,7,0,0,-11.614052772521973,-11.467567443847656,False
Chrome,producer,low,7,10000,0,-8.886503219604492,-5.536038398742676,False
Chrome,producer,low,7,20000,0,-6.544619560241699,-5.629340648651123,False
Chrome,producer,low,7,30000,1,-7.514591693878174,-4.306697845458984,False
Chrome,producer,low,7,40000,2,-6.588351249694824,-4.0379958152771,False
Chrome,producer,low,7,50000,2,-7.140646934509277,-4.325681686401367,False
Chrome,producer,low,7,60000,2,-7.2098388671875,-4.60886812210083,False
Chrome,producer,low,7,70000,2,-7.87603759765625,-4.254682540893555,False
Chrome,producer,low,7,80000,5,-7.574915885925293,-3.5019187927246094,False
Chrome,producer,low,7,90000,7,-6.810722351074219,-4.132568359375,False
Chrome,producer,low,7,100000,7,-7.623489856719971,-3.9883317947387695,False
Chrome,producer,low,7,109672,7,-7.104216575622559,-3.965913772583008,False
Hot Cop,genre,low,4,0,0,-11.559001922607422,-10.819759368896484,False
Hot Cop,genre,low,4,10000,1,-9.789156913757324,-6.720405101776123,False
Hot Cop,genre,low,4,20000,1,-10.245776176452637,-5.872204303741455,False
Hot Cop,genre,low,4,30000,3,-10.091212272644043,-5.788694858551025,False
Hot Cop,genre,low,4,40000,3,-11.772289276123047,-5.092264652252197,False
Hot Cop,genre,low,4,50000,3,-11.488391876220703,-5.910777568817139,False
Hot Cop,genre,low,4,60000,3,-10.682525634765625,-5.4872050285339355,False
Hot Cop,genre,low,4,70000,4,-11.201786994934082,-5.966700077056885,False
Hot Cop,genre,low,4,80000,4,-12.890386581420898,-5.841841220855713,False
Hot Cop,genre,low,4,90000,4,-10.489324569702148,-5.792551517486572,False
Hot Cop,genre,low,4,100000,4,-9.983682632446289,-6.270671844482422,False
Hot Cop,genre,low,4,109672,4,-10.64956283569336,-7.217377185821533,False
The Walk,director,low,1,0,0,-11.366175651550293,-11.830413818359375,True
The Walk,director,low,1,10000,0,-8.003816604614258,-4.926476001739502,False
The Walk,director,low,1,20000,0,-6.8939690589904785,-4.575319766998291,False
The Walk,director,low,1,30000,0,-6.519210338592529,-3.5426769256591797,False
The Walk,director,low,1,40000,1,-7.7623443603515625,-2.460594654083252,False
The Walk,director,low,1,50000,1,-6.549023628234863,-2.969088315963745,False
The Walk,director,low,1,60000,1,-6.9382123947143555,-3.082024335861206,False
The Walk,director,low,1,70000,1,-6.710392951965332,-3.0044643878936768,False
The Walk,director,low,1,80000,1,-6.303360462188721,-3.2588179111480713,False
The Walk,director,low,1,90000,1,-6.178196430206299,-2.669809341430664,False
The Walk,director,low,1,100000,1,-6.6693243980407715,-3.283033847808838,False
The Walk,director,low,1,109672,1,-6.0947675704956055,-2.5561578273773193,False
Oil,screenwriter,low,1,0,0,-11.413495063781738,-11.520655632019043,True
Oil,screenwriter,low,1,10000,0,-5.509445667266846,-6.831487655639648,True
Oil,screenwriter,low,1,20000,0,-5.032902240753174,-6.816969394683838,True
Oil,screenwriter,low,1,30000,0,-5.099148273468018,-6.520753383636475,True
Oil,screenwriter,low,1,40000,0,-4.686103343963623,-6.91330099105835,True
Oil,screenwriter,low,1,50000,0,-4.078341007232666,-6.5143141746521,True
Oil,screenwriter,low,1,60000,0,-3.888380765914917,-6.522818565368652,True
